438
E	M
M	82	19	708	168
E	880	21	1572	237
}}M	1612	22	1960	232 }}Mimi has a blank speech bubble in the original comic. I couldn't decide whether my Markov Comic Generator should put dialog there, so I created this line but commented it out.
E	1998	30	2385	331
